iter	Passed	Remaining
0	152	152282
1	154	76848
2	155	51696
3	156	39054
4	158	31491
5	161	26725
6	163	23206
7	165	20460
8	165	18274
9	171	16958
10	173	15566
11	174	14334
12	175	13292
13	176	12403
14	177	11630
15	178	10960
16	179	10365
17	180	9837
18	181	9372
19	183	8973
20	189	8825
21	192	8538
22	193	8217
23	194	7914
24	195	7638
25	197	7400
26	199	7180
27	201	6985
28	204	6845
29	205	6653
30	207	6471
31	208	6295
32	209	6131
33	213	6074
34	215	5949
35	219	5865
36	221	5762
37	222	5643
38	225	5550
39	227	5451
40	229	5372
41	232	5297
42	233	5199
43	234	5104
44	236	5012
45	237	4923
46	238	4840
47	244	4841
48	246	4793
49	248	4717
50	249	4644
51	250	4571
52	251	4501
53	253	4449
54	255	4394
55	257	4345
56	260	4309
57	261	4253
58	263	4199
59	264	4144
60	265	4091
61	270	4096
62	273	4065
63	274	4019
64	277	3989
65	278	3943
66	279	3898
67	281	3854
68	285	3851
69	287	3824
70	289	3791
71	291	3753
72	292	3715
73	293	3674
74	294	3635
75	296	3603
76	297	3569
77	302	3577
78	303	3543
79	305	3510
80	306	3478
81	307	3447
82	308	3409
83	309	3378
84	311	3353
85	313	3328
86	315	3315
87	317	3289
88	319	3268
89	320	3241
90	322	3216
91	323	3190
92	324	3166
93	326	3150
94	328	3133
95	331	3121
96	332	3097
97	334	3074
98	335	3050
99	340	3066
100	342	3051
101	346	3049
102	347	3029
103	349	3009
104	356	3036
105	358	3023
106	359	3003
107	361	2982
108	362	2962
109	363	2943
110	364	2922
111	367	2911
112	369	2899
113	372	2897
114	375	2889
115	376	2872
116	377	2852
117	379	2835
118	383	2842
119	386	2837
120	390	2834
121	391	2818
122	393	2802
123	395	2790
124	401	2809
125	404	2805
126	406	2793
127	407	2779
128	409	2764
129	410	2750
130	412	2739
131	414	2723
132	415	2707
133	416	2691
134	418	2681
135	420	2668
136	422	2658
137	424	2653
138	426	2643
139	428	2630
140	429	2617
141	430	2601
142	433	2598
143	435	2588
144	437	2581
145	440	2578
146	442	2566
147	443	2555
148	445	2542
149	455	2581
150	457	2570
151	459	2564
152	465	2578
153	468	2572
154	470	2563
155	472	2554
156	473	2543
157	475	2532
158	477	2524
159	479	2515
160	481	2508
161	482	2498
